t,Unnamed: 0,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-06-22 13:44:00,47670,2020-21,A69-9006-7849,6/22/2020 13:44,3516.6,6434.23,3.184,34.412017,-119.565343,1,3.2,,,3.1835,,In_A Off_A OS1,In_A Off_A OS1,POINT (-119.565343 34.412017),0 days 00:01:00,1.2470170449896416,POINT (-119.565374 34.412691),177.82696141885492,-59.2423837135428,1
2020-06-22 13:45:00,47671,2020-21,A69-9006-7849,6/22/2020 13:45,3593.08,6392.67,3.184,34.411643,-119.564511,13,2.6,,,3.1835,,In_A In_C Off_A Off_B Off_C OS1,In_A In_C Off_A Off_B Off_C OS1,POINT (-119.564511 34.411643),0 days 00:01:00,1.450300845184594,POINT (-119.565343 34.412017),118.58457770531214,-25.42870834194963,1
2020-06-22 13:47:00,48612,2020-21,A69-9006-7849,6/22/2020 13:47,3704.23,6386.6,3.487,34.411588,-119.563302,11,2.6,,,3.4867,,In_A In_B In_C Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C OS1,POINT (-119.563302 34.411588),0 days 00:02:00,0.9276575689264626,POINT (-119.564511 34.411643),93.15586936336251,-72.32471053836957,1
2020-06-22 13:48:00,47188,2020-21,A69-9006-7849,6/22/2020 13:48,3733.18,6462.41,3.032,34.412271,-119.562987,6,2.9,,,3.0319,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.562987 34.412271),0 days 00:01:00,1.351853553420814,POINT (-119.563302 34.411588),20.83115882499294,52.52536626280948,1
2020-06-22 13:49:00,46217,2020-21,A69-9006-7849,6/22/2020 13:49,3821.59,6488.67,2.729,34.412508,-119.562026,5,3.3,,,2.7287,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.562026 34.412508),0 days 00:01:00,1.5363182485377744,POINT (-119.562987 34.412271),73.35652508780242,19.951116371113752,1
2020-06-22 13:50:00,42604,2020-21,A69-9006-7849,6/22/2020 13:50,3890.98,6484.64,1.819,34.412472,-119.561271,4,3.6,,,1.8191,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B,POINT (-119.561271 34.412472),0 days 00:01:00,1.1587723875098157,POINT (-119.562026 34.412508),93.30764145891618,12.39955148389577,1
2020-06-22 13:51:00,40483,2020-21,A69-9006-7849,6/22/2020 13:51,3965.07,6463.89,1.364,34.412285,-119.560465,2,5.9,,,1.3643,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1,POINT (-119.560465 34.412285),0 days 00:01:00,1.282486280540435,POINT (-119.561271 34.412472),105.70719294281196,30.995393475032134,1
2020-06-22 13:52:00,43867,2020-21,A69-9006-7849,6/22/2020 13:52,4007.17,6419.39,2.122,34.411884,-119.560007,10,3.3,,,2.1223,,In_A In_B In_C Off_B Off_C OS1,In_A In_B In_C Off_B Off_C OS1,POINT (-119.560007 34.411884),0 days 00:01:00,1.0208533829838364,POINT (-119.560465 34.412285),136.7025864178441,24.86340391044093,1
2020-06-22 13:53:00,44453,2020-21,A69-9006-7849,6/22/2020 13:53,4023.86,6369.65,2.274,34.411436,-119.559826,8,3.4,,,2.2739,,In_B In_C Off_A Off_B Off_C OS1 OS2,In_B Off_A Off_B Off_C OS1 OS2,POINT (-119.559826 34.411436),0 days 00:01:00,0.8734759745158361,POINT (-119.560007 34.411884),161.565990328285,29.000680277519116,1
2020-06-22 13:54:00,47672,2020-21,A69-9006-7849,6/22/2020 13:54,4008.33,6287.27,3.184,34.410693,-119.559994,11,2.6,,,3.1835,,In_A In_B In_C Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C OS1,POINT (-119.559994 34.410693),0 days 00:01:00,1.39759337029383,POINT (-119.559826 34.411436),190.56667060580412,59.174716058303744,1
2020-06-22 13:56:00,49045,2020-21,A69-9006-7849,6/22/2020 13:56,3932.87,6259.52,3.638,34.410443,-119.560815,7,2.6,,,3.6383,,In_B Off_A Off_B Off_C OS1,In_B Off_A Off_B Off_C OS1,POINT (-119.560815 34.410443),0 days 00:02:00,0.6701201285911461,POINT (-119.559994 34.410693),249.7413866641079,79.59474841416005,1
