,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
112,2020-20,A69-9006-7853,5/21/2020 22:52,4705.94,5785.41,-0.607,34.406169,-119.552406,7,3.0,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
113,2020-19,A69-9006-7851,5/21/2020 22:53,4686.23,5829.69,-0.607,34.406568,-119.552621,1,4.7,,,-0.6065,,In_C Off_D OS2,In_C Off_D OS2
114,2020-20,A69-9006-7853,5/21/2020 22:54,4718.05,5773.22,-0.607,34.406059,-119.552275,3,4.1,,,-0.6065,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2
115,2020-20,A69-9006-7853,5/21/2020 22:56,4719.19,5778.59,-0.607,34.406108,-119.552262,6,3.1,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
116,2020-20,A69-9006-7853,5/21/2020 22:58,4720.97,5771.91,-0.607,34.406048,-119.552243,6,3.1,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
117,2020-19,A69-9006-7851,5/21/2020 22:58,4854.0,5754.04,-0.607,34.405886,-119.550796,2,10.3,,,-0.6065,,In_D Off_D Off_E OS2,In_D Off_D Off_E OS2
118,2020-21,A69-9006-7849,5/21/2020 22:59,4369.64,6058.69,-0.607,34.408633,-119.556064,1,3.2,,,-0.6065,,In_B In_C Off_C,In_B In_C Off_C
119,2020-20,A69-9006-7853,5/21/2020 22:59,4758.16,5754.47,-0.607,34.40589,-119.551838,1,3.9,,,-0.6065,,In_C In_D Off_D OS2,In_C In_D Off_D
120,2020-19,A69-9006-7851,5/21/2020 22:59,4896.28,5726.93,-0.607,34.405642,-119.550336,1,4.6,,,-0.6065,,In_C In_D Off_D OS2,In_C In_D Off_D
121,2020-21,A69-9006-7849,5/21/2020 22:59,4406.3,6058.31,-0.607,34.408629,-119.555666,1,3.4,,,-0.6065,,In_B In_C Off_C,In_B In_C Off_C
122,2020-19,A69-9006-7851,5/21/2020 23:01,4935.25,5714.2,-0.607,34.405527,-119.549912,1,9.6,,,-0.6065,,In_D Off_E OS2,In_D Off_E OS2
123,2020-20,A69-9006-7853,5/21/2020 23:02,4792.03,5750.23,-0.607,34.405852,-119.55147,5,3.4,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
124,2020-20,A69-9006-7853,5/21/2020 23:03,4761.19,5739.86,-0.607,34.405759,-119.551805,1,3.8,,,-0.6065,,In_C In_D Off_D OS2,In_C In_D Off_D
125,2020-21,A69-9006-7849,5/21/2020 23:04,4492.69,6129.15,-0.607,34.409268,-119.554726,4,4.8,,,-0.6065,,In_B In_C Off_B Off_C,In_B In_C Off_B Off_C
126,2020-21,A69-9006-7849,5/21/2020 23:06,4422.66,6170.09,-0.607,34.409637,-119.555488,1,5.5,,,-0.6065,,In_B In_C Off_B,In_B In_C Off_B
127,2020-19,A69-9006-7851,5/21/2020 23:06,4854.14,5570.01,-0.607,34.404228,-119.550794,2,3.1,,,-0.6065,,In_C In_D Off_E OS2,In_C In_D Off_E OS2
128,2020-19,A69-9006-7851,5/21/2020 23:08,4759.59,5567.34,-0.607,34.404203,-119.551823,1,3.3,,,-0.6065,,In_C In_D Off_D OS2,In_C In_D Off_D
129,2020-20,A69-9006-7853,5/21/2020 23:10,4820.0,5712.99,-0.607,34.405516,-119.551166,1,3.9,,,-0.6065,,In_C In_D Off_D OS2,In_C In_D Off_D
130,2020-19,A69-9006-7851,5/21/2020 23:12,4734.02,5613.31,-0.607,34.404618,-119.552101,1,4.4,,,-0.6065,,In_C In_D Off_C OS2,In_C In_D Off_C
131,2020-19,A69-9006-7851,5/21/2020 23:12,4733.74,5610.64,-0.607,34.404594,-119.552104,2,3.9,,,-0.6065,,In_D Off_D Off_E OS2,In_D Off_D Off_E OS2
132,2020-19,A69-9006-7851,5/21/2020 23:13,4759.07,5621.13,-0.607,34.404688,-119.551828,1,4.5,,,-0.6065,,In_C In_D Off_C OS2,In_C In_D Off_C
133,2020-20,A69-9006-7853,5/21/2020 23:15,4837.66,5717.85,-0.607,34.40556,-119.550974,1,4.1,,,-0.6065,,In_C In_D Off_D OS2,In_C In_D Off_D
134,2020-21,A69-9006-7849,5/21/2020 23:16,4159.07,6351.41,-0.607,34.411271,-119.558355,1,9.8,,,-0.6065,,In_B Off_A Off_B,In_B Off_A Off_B
135,2020-20,A69-9006-7853,5/21/2020 23:16,4837.28,5733.58,-0.607,34.405702,-119.550978,5,3.6,,,-0.6065,,In_C In_D Off_D Off_E OS2,In_C In_D Off_D Off_E OS2
136,2020-21,A69-9006-7849,5/21/2020 23:17,4130.44,6375.26,-0.607,34.411486,-119.558666,1,5.6,,,-0.6065,,In_B Off_B OS1,In_B Off_B OS1
137,2020-20,A69-9006-7853,5/21/2020 23:19,4798.23,5683.72,-0.607,34.405252,-119.551403,4,3.3,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D
138,2020-19,A69-9006-7851,5/21/2020 23:19,4747.43,5756.43,-0.607,34.405908,-119.551955,6,3.2,,,-0.6065,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2
